route_id,route_short_name,route_long_name,route_sort_order,route_color,route_text_color
KW,KW,KW,01,8C2115
PKM1,PKM1,PKM1,10,4278BF
PKM2,PKM2,PKM2,20,D43A3B
PKM3,PKM3,PKM3,30,5A8E27
PKM4,PKM4,PKM4,40,6A2f7D
PKM5,PKM5,PKM5,50,E1B94B
KW_BUS,KW ZKA,KW ZKA,02,8C2115
PKM1_BUS,PKM1 ZKA,PKM1 ZKA,11,4278BF
PKM2_BUS,PKM2 ZKA,PKM2 ZKA,21,D43A3B
PKM3_BUS,PKM3 ZKA,PKM3 ZKA,31,5A8E27
PKM4_BUS,PKM4 ZKA,PKM4 ZKA,41,6A2f7D
PKM5_BUS,PKM5 ZKA,PKM5 ZKA,51,E1B94B
